GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
arete-web-api,com.arete.webapi.service,AiModelService,40,228,8,12,11,50,7,11,1,7
arete-web-api,com.arete.webapi.service,RoomCostService,0,86,0,4,0,18,0,5,0,3
arete-web-api,com.arete.webapi.service,FormService,5,291,5,27,5,71,5,28,0,11
arete-web-api,com.arete.webapi.controller,FormController,0,71,1,5,0,18,1,7,0,5
arete-web-api,com.arete.webapi.model,FormRecord,48,85,0,0,16,24,15,23,15,23
arete-web-api,com.arete.webapi.model,RoomCostConfig,3,28,0,0,1,9,1,8,1,8
arete-web-api,com.arete.webapi.config,DatabaseConfig,9,45,1,1,2,11,1,3,0,3
arete-web-api,com.arete.webapi.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
arete-web-api,com.arete.webapi.config,CorsConfig.new WebMvcConfigurer() {...},0,48,0,0,0,6,0,2,0,2
arete-web-api,com.arete.webapi,AreteWebApiApplication,5,3,0,0,2,1,1,1,1,1
arete-web-api,com.arete.webapi.exception,GlobalExceptionHandler,0,43,0,0,0,11,0,5,0,5
arete-web-api,com.arete.webapi.exception,RoomCostExpiredException,0,6,0,0,0,2,0,1,0,1
arete-web-api,com.arete.webapi.dto,OfferResponse,0,27,0,0,0,10,0,5,0,5
arete-web-api,com.arete.webapi.dto,RoomCostResponse,0,15,0,0,0,6,0,3,0,3
arete-web-api,com.arete.webapi.dto,FormData,0,94,0,0,0,28,0,27,0,27
arete-web-api,com.arete.webapi.dto,SaveLeaveEmailRequest,0,17,0,0,0,5,0,5,0,5
arete-web-api,com.arete.webapi.dto.ai,PremiumResult,0,9,0,0,0,1,0,1,0,1
